address:ID,amount,ui_amount,tx_count
9Lt9GVmedTXgo2KM4wwUtPH5YpeqDZwwpWrjcjiSXXQe,100518578112975,100518.578112975,5
3bNHGztkWvhowFBk3VvRmNHoUXu31tqSfy7X4j15XKCg,100011995157997,100011.995157997,7
4gWG91XiQKWbsrc59Uxt2NQoV9fWw8Mo2ozNQkPjMvVs,97148878163791,97148.878163791,15
2hg9NsgN1iXgBJnJNKiqLbYioKyzUgDa9BDYeaGrEhFK,93750000000000,93750.0,15
DD61A2JfAo4RX6Dzqj2ZFA1GukBNtxX6K2LhPrY1eNte,90573395610324,90573.395610324,15
BcwJ5pfcgDvaZfyB3ESjn6dhviGzoUjGa6CUQeSg6hZC,90153792241002,90153.792241002,3
7XhnWdthGU3aGPgoCueuomJcJngDPFqmoJEnkFBkuYFd,87629335593982,87629.335593982,15
2WQGZ3TA4JttsqDfPrwT9KHSkajMRxgbuceE9jxYHdQj,84880500000000,84880.5,15
FA1Q1ToT8i3VGDViaSYu94Zj25n66maHW7F93aq6U32k,83328000000000,83328.0,15
91WUhsm6qvrmyU5sSAnZcWX5sFmcGfuKnwX4dxFAZ1iy,80236046762969,80236.046762969,10
BJWwFgEPwRjZgPv18Cqsge9pUD5bdqMnidvo2YsJNcno,78528724190861,78528.724190861,15
ESkanETWdWP3th9UoWEtpYxMD5RNCuZ27RBnCHvu1miw,78135168856505,78135.168856505,15
7xhdP1Ht7GhXxEyypxewyUw6eBwwXRtryGxeaEF353Rd,77927801342450,77927.80134245,1
5H5pDjH2Uq6c7w3kHT4pZWUPuKADmjmtHiMPvzNnQJkw,77213000000000,77213.0,15
9tkAvajyFgZ7m1RxspdaGunokGbbhvp39vWhoeVUp6Wo,70002449184158,70002.449184158,15
94HwV7pft2sQ5nakvASnKZ6U2qoQCp7DBK3R2NH2Svpx,68441804837978,68441.804837978,15
79kmvWumfYnM7P5CP655uXRKSKniukXW3qs81xM6PfYh,65628229600000,65628.2296,3
BLZYvUmWpxeAeZHdhTL96FtuX4EgUtZKU37eYAkA89dc,64554000000000,64554.0,15
42a76XyydpjMnnJKARBXrcTg9CgjTj4uWahGbM38Eg8L,62500000000000,62500.0,15
EqdjnRrsB7RjTCcVtEj6CnrGdbTLZJN6hMY4q89QyyeC,59140528205115,59140.528205115,15
DQbHHr8WgCSnYyXxps47xZME8HJwpDbLrFmsmn3uSQwW,58360000000000,58360.0,2
CyhBpgP8QsxkR2AKQh7oaYbqwmm5n2rPMm2M1Yw2dDfw,57486176500210,57486.17650021,15
EZ4fW6WV79VwKwmMaw1aKu52yJE9zr3o1xVyFPSExhZp,56215000000000,56215.0,15
3yBHsKML7sRoyYu1sRbP2g9wStmiY77KyZHwuBCEUvPM,54211453136914,54211.453136914,15
EbKqfhxvGp9MJ2sRq8xRkuW63RwMnxUn5vhQe1wnbeEd,52076000000000,52076.0,15
25jrNi2n64Zomd3WPd1rUSFPWPftBhAEf4pwmabbuDuo,49073000000000,49073.0,15
FBKNJCMbB3hpbVx8fyTQ9rjJ3m2vUZRDqYCoPeWZHC5W,46707085282640,46707.08528264,15
ES9gth6WZTbBgXUz5XTDrrY4UA37P7xNGJK75P79iZv2,45601617044587,45601.617044587,6
FayDQPMQCszRbzxqfvbrnZ5jVt7GFnJU836VpJc3sYoz,41881281691220,41881.28169122,15
DLRZCcfjYW1rNYJn7MGyfqmVzQRTkR2abeXPt3DqsvTJ,41677961498087,41677.961498087,5
Co1XSYGL9dxbecANs92NmKdPyujBcghjcRUgBbGsBaqS,41661000000000,41661.0,15
Ggqsqygc7ZXVoYkQ3d7bepxgvbTWsjYfqKcXseB8fGN8,40140929065120,40140.92906512,15
NXbDCHLNNu6bmarHuNhpPYJrbogdzuMdY8y5nn2T6pC,39779575502355,39779.575502355,15
Ey9C1byd1GiKU219JEMTdKvPJFTG8njmkT56jTkM7hnS,38752807735851,38752.807735851,15
7JLh8icakxYEughHV2Y37C8bn3nkP5LC5tuLPRnfMy5r,36337000000336,36337.000000336,10
DKGcB2VxhnpKMruXVjSc4L3ZLPFX7yuYp5yAJuj3tz5k,36192848415500,36192.8484155,1
ETE7stvcbFNzUmjhHUt6dh7pc2eCVhLnScEmAL7D9nLj,35884471738699,35884.471738699,15
GQMxUL9tKxgejDpPJpFsNFTSjmw9fT8dNdj3kXU3sUET,35537000000000,35537.0,15
3fXfPmajmKiVY2Wo1rK6H3e2M1d7eV9gFd3rJVHDNeZn,33745242536204,33745.242536204,15
7RJNKPPxX4BnyGM4Lu86u7JNo3KYatMgja1Y4FGf38fQ,33304798413678,33304.798413678,2
Budt3M268YyiQqfDXamcyy56jxstCEZXGk6hGrvbDhCN,32496569921665,32496.569921665,1
8fVd8nkGmyKRh26SUXVsyMAZcYLnC2XT2wpzGf7nKv66,32272000000000,32272.0,15
GmPw4af4WSM2rTiKQZppw5VY2fShU28cZGi3mPQhF5qJ,32028867981937,32028.867981937,15
9njF5SDJ9ewjU6YnZfG1GtRPN2RE6mXm5VNpEauETYHt,31484000000697,31484.000000697,15
DHzX5MbF3eGTTFBP1kFUo73uHjv1gjrKyjyGwS3orYen,30438799445027,30438.799445027,15
3T6HmNSABCr3GA4uxvLovNnwAho2qrXUoL48sjPKy6x5,28830000000000,28830.0,15
9uHELYgbRD1ND7dEpyH2wHEat2Pk27m1eCZ3FPQr4ihj,28003399134897,28003.399134897,11
A9XRC8th2KiYwytiwDXNxsW3Ztcq7SHnkT23UAb42vqm,27994000000000,27994.0,1
FNZvGrJHC5TSsLu8w4U7f7C2VB2oKDCWeKecCejFAoUr,27601149225164,27601.149225164,5
DhPfy6jfqPAyAJ3ovZiGbUXQ5NYCS4QZPy7fxMLs2BdU,27472797135384,27472.797135384,1
3sZAd1UVW6tXucAzdGSkRSM34m3172xryYkBegHfv6VG,26795274406055,26795.274406055,1
DsSo9PpaTHT3uBd7APzdVzGZvgpkfqGmeLWLkKADM9to,26264490940399,26264.490940399,15
2BMeUqwaqUbsV9TiYaStN8PgnnFE2EsAxZnT3UBvc7qd,26237578080210,26237.57808021,8
Bk8rGTYgH9cyBQ5hy8bqjyNQJ2VncBPewVkYXrg9XU9J,26023304924711,26023.304924711,3
DYXiynDrf84ZYJ4xiPBXfCnhVPa2N5d8kix8GHJMJARM,25921247947283,25921.247947283,15
C9cUifa5NDUGiXPMorWZfA9eTWqtA7RVvomnpBuD4vTE,25710262919492,25710.262919492,3
HwQEcvPJ7tiYu7Kb9QhB2xsRvbxmFMW1J62WiZgAyfsu,25589660000000,25589.66,15
F5TjfDbrpMcoTCUmZpbseurd16FhtnpRMbL91LweUGt3,24480000000000,24480.0,15
5DFNZKaSBeoZUNYvWE55upCbqs49YCEyRsaeybXLpj5n,23831931559431,23831.931559431,14
94TXfoGjjZAGF4FM16g8QsECTMyEjAY4uK4fFFp7G2e7,23536776315642,23536.776315642,15
EjYynEUeitHkFLLxjaiGub9d7X4Ude8PWRt8E1KXVLaL,23103000000000,23103.0,15
CDoCDJjxmU5Jdkg4pmUT22NJ4sdZS3BrKAuJ1SkCMaZ3,23102000000000,23102.0,15
47AaM8iVmyg1CKiAoKnNLfts1kTacN7Mu1kEwe1gGixE,22878550130741,22878.550130741,6
6Ukofz1AVhbrtXmMgDMyfbhStTm4YvMyY3N4RpD6iC7F,22854278835000,22854.278835,1
3YSKE4qAzP9VTrctprCarBy5sHFByhHsFkx5JkzhU5Sb,22797942531857,22797.942531857,6
DqVjEiMcMcjKpBvUR47L9JF3CcFDq4FefJyXFEbHysQi,22762906676909,22762.906676909,15
D94Eu1xBS3fUo4mtjKvSuRkmyu7GegH3QpcJwcRWmbd2,22753822630863,22753.822630863,10
2UPxgUrnginiHpSLMK9ZshgE1mK5MKSFbbsUWQZkLqFf,22582962511264,22582.962511264,15
64bUP724P2RfZPESRfhmwvcnHM7ZSuyW4DvJ56cX9tg8,21527165916000,21527.165916,15
C4C21kFMv1wak8JXcMavRtUxvQBMYe5BTG8ze5QBJ9a1,20983052547000,20983.052547,15
5aqkt3uEDz6JyuhiaiUH9WhGS53tKENo9LpRMa9fqyCA,20833000000000,20833.0,15
D4KvrSoDUVEZFLkj5324Uzfj9g1vfGKEd7L6g3FUPigH,20824132108844,20824.132108844,15
4dYX4LVJoNXkqhPS9SytbzmoKKJ1XnANx272K4ZqEW4g,20196470237421,20196.470237421,9
68sLMfTiYrCWfimav1Y5vc6M8ndXVigFVMbMY7AKTqkm,20114528660082,20114.528660082,15
3jURh68AhqFNKDkXsdBd1VmJEU2mNn1o5VDe3FGJAVXS,20015597170881,20015.597170881,15
ECJ9eKdrKV8SrnaD6PLdwfVbBMQoCXSHNrTVsjMeFaq8,19748000000000,19748.0,15
9YAHYrVYhQYuE2sEKpXZiiJLJr2FLhHsgScHs3Rbac89,18772319309150,18772.31930915,15
8YcqphFcxuYnEi2rjVR89odLLoNN9wqn3MfH9e1YDtza,18760000000000,18760.0,15
6L8N9PiAHEPh3g86EiUvdKkDCcPFSw3f8j5GcRGHK5up,17351629950382,17351.629950382,15
FwXjXDVhkVBQZJufKwoASgeF8HVyJNDTRUR9C5LXV3oL,17279902698439,17279.902698439,15
945UNvLwnrfAjFXFsr6Y5NA2MtZsSkSLPzJGjECoSB6D,17129000000000,17129.0,15
3WiWyKdnV7biNHfx1WXXL1xQod6irpLYZVzUqCqxzHG1,16650000000012,16650.000000012,15
4pAbQkQRztLFvuyMPYYcUbWwmhL4tZpZ8hoRsUgbs3mC,16240367834033,16240.367834033,15
EEKWrMo47QhQ4VAu1ooiFn7R4kQzoqsZGnjfVVdZjNef,16152000000000,16152.0,15
7N5XXCvikS7XPVHCF9b9o5th5v2KSZrvM2rFjm8eLhEA,16039717891809,16039.717891809,1
Apx6eYqBE2jj1t3BxXMYe4SrfgBicBY7U8YcnEqgmdXH,15735783361106,15735.783361106,15
AKXuxbLFhPRPGZ5LwJy6ec8N5E67QG2XkChQP3KYFGrQ,15270646067729,15270.646067729,15
2fwwLcputHQVSJFbjZSarSRamic6eWvDdjxk7AgRbXQc,14882356500000,14882.3565,4
2iPFwr87Akc35AYeBcydER5KTxVCtooPpeAtnkUsEDPM,14802769995673,14802.769995673,15
HGELzMj7MP5F9C6dhRBDLyyqBtHZdBEXG16EUDGQ3RqH,14368069869166,14368.069869166,15
5uX5ULM5ZgrWUf5eC9nVRLniN63He4WGUWE1D7HRphP1,13913335770353,13913.335770353,8
H4jZAi7SqwsWTpWnswEQocPDBLntkpqnCgCGc1A8PazT,13607329923447,13607.329923447,12
CWvsm4xCGohRzphnfuj8V9ZLchztj1o9yqEFeG1oQBNK,13432159043686,13432.159043686,7
7gBur8Q11B4HsefuX5c74Ternw5A3E4M6iRXwu4w7W8j,13337356091575,13337.356091575,2
EvhS7HRnrPTgWfAnbPKqf1hnzqJELtrfw26GnMfBBFVq,13223512240000,13223.51224,3
3QZGibxwvotbrMtSwDawBKy9oWz4uELmqXq9m8JbG5qY,13154474244136,13154.474244136,15
roe2VWbQNywWioRt8LtDYbi3eyUHgUgFna7NdHV1kBz,13089091742000,13089.091742,7
DRKAWgPGdtoZMuNXgji2AGGC3FQcxqzU2ruHqTvesd4i,13076233067839,13076.233067839,9
FXpUZvPYS76odYHGXB7YQnWXzUy16V917QznDzJpfiYh,13001000000000,13001.0,15
GNXD5EuP6T9JSQn4doFuvj4jtgeojdxoxEeu3cTh2ZBv,13000000000000,13000.0,1
8oe9wKAzUW4UcARB5NcxCjQfFinhnFurosg1naea5bP5,12966033051250,12966.03305125,1
GQywHeCbZtzwqoKvrGcF5TZgbZTohWR1uJ5ajd4b4ZFA,12596390686000,12596.390686,3
BtkZK2qQUFnTdPTNzVHk8WypbFUe8kSdgd9jviQdyMGZ,12593266130895,12593.266130895,2
5KjLmFd9gGQdytiBnvzouKutVKaVbkHKaJJorLk5AYKC,12569112847636,12569.112847636,15
ARVH1pfY2t3sMuGVAooYtDTEQ9mHyfLHTxApekscuf5c,11860718200000,11860.7182,2
cTRg72xAQPLDwdVsaHLiXtN7C3MwgbETWRRW2wHZ1Nf,11617198663549,11617.198663549,15
38pVfCgqUZ4SuJN3Z9w21DJDJ1LJHThqjeZ7uLWHt8CK,11342234830644,11342.234830644,10
2BR5FmKiUNEVfW8r4ykAbb1woAPQBF8EX9qGvq8MPGu8,11300624479441,11300.624479441,4
3vUkjiKZudaSv6GqRXkDgA7mXPHCM9MCUJL4EsN9q38r,11229171100000,11229.1711,1
413s6jiRbayD9didA4VnY8kQVgVBgkYNpYB2tyNf8sbh,11196881669253,11196.881669253,15
82hSBKQDbm2r9tscMjx6mHTenHsuUexhUDCa9QAy1Whs,10615989053897,10615.989053897,15
EWKGxXigtw6jVGdqt93tvKguVSbMJcoVTSZiugH7Uffs,10552978702257,10552.978702257,15
zwVxduk5WrF3DcC6F4RFN2ft1B99cXNHQ3dea5wStXQ,10449710263840,10449.71026384,2
9XUNt2pyrLj9DaNw6D2VV3pLvr8KmJXSgj2ZHKzaAoTJ,10322625430000,10322.62543,2
GKoRPVqMwTCcLJcSyVmFsqardQ2x1wY4z9Hxtn1V8Acb,10310000000000,10310.0,15
7zv7mjv45WdtSvg6WFkwWz2ovS9uzqRDbmxwa6MtarH,10228030750918,10228.030750918,1
2rFZYgGBtV2M8hrfMRETnPCxqSJNkmR9qLLa4aieGUXf,10137365650329,10137.365650329,4
23SLLjYHiJBVYEWLZhjTCaquT2nEkXURJhSXxZvj7eot,10042838485917,10042.838485917,15
55F3qXJXMCW2GU9GBXL8wzkjbWQvqmfjV9ghTnMWKoCm,10021000000000,10021.0,15
B8ELxMRnXQSCbzshavH9yKkpHq4XtqjxyWdLZEhFNBNV,10000000000000,10000.0,15
39RxYzcbdyPHQyysMxWfq2ni4qDs7yDRKzRvaiwA7Wqo,10000000000000,10000.0,1
2B6bhTESoUVpkAQ6GhCjxhAy5Kjn3A3fXUP9u5woUvog,9992000000000,9992.0,1
EMhcvA3Av7WQTotw1aMdc3mksveTW5zpzoWSKf6G2ACV,9943943528972,9943.943528972,15
8WgzJ21tEJYcJQA57b118RiGwkojnJNDk1eDn8ret14y,9868160273152,9868.160273152,15
GGmUg4tvu6U25yJPa2XqsaUZ4bk6483jS1bW77NCvqGC,9851262654299,9851.262654299,2
AnBGQHaPUYXMQ2tyy8NZ7oREXZSbowCvGY9LSdJEHLUm,9704000000000,9704.0,15
EQmTTPcsqpH9gss8LNJg5257sqD4MFg986dujyJYxjW8,9694577200000,9694.5772,1
7DweVxDinmw6csPJHTY4G2x7d6L6gWo3k8vMw2pXcNcc,9462816038610,9462.81603861,1
BC9MYdHbphdw2ctMmbZXgzK8uNKra3rCdtCdZvaG9Rct,9436466500000,9436.4665,3
CCxV2PXBwi2CvwJQAcX6BLPGSMmqmRcfsLwin4DVU28y,9333198800000,9333.1988,8
HRvVcBT9h3gSAWFHz1UbKMGrPHvucfwx8mTFWrDM8iG1,9314520206888,9314.520206888,3
HA9DoZNzuP7RQsVkz82jWm5N2JXUVqKpD5B4rpFjg9Sr,9187132713368,9187.132713368,15
BcvDHi3sGvHCF1t8Ad2AVeLRMUFSjk4ASjowQoe6FyMi,9159609869336,9159.609869336,12
JPmcsKzBdiCdbRUxa676aSZzmad8PeUANMDytBJjMg8,9061897879381,9061.897879381,15
7sQTWyWr77ZoQDKSMp4VaMtmoPk81LtVrtjSm47JABia,8766913532410,8766.91353241,15
APchLQkDyGh7xNSAusLAbYPWoNansHon9ABSVdrU2S6w,8740196050000,8740.19605,1
HRwijKGZtktkmUxGHVtXgHoMYEfULJs3Tnz5Y3P86YDe,8205332011252,8205.332011252,15
61FMSBSYfw5MyFToLkvhTGSH8825vhb52N9VHAkUHepW,7990749200000,7990.7492,1
5YMczPoxqCqcUBvGygupiaRx7L9vnAsUgFzDKUX4BuWh,7934000000000,7934.0,15
6CRWSRLGPC3k6rSSuMZcmEtRdiSdsTgUkdkC2E9NEveR,7917171275963,7917.171275963,3
8tq5froj71zupKwQHQjSPEmxBKpXB4wmCXFSvySp6R5Y,7834289500000,7834.2895,1
5LEk1NsBJzjnCzKfFvimaMjMJtGJnyLWCdDdczZnkoHi,7697250312998,7697.250312998,14
D3EdwgRn1RChyF6gG9kpixiE8NA2Bg51iWsCAybi4wu,7681649845767,7681.649845767,7
986bTqsi6uxdAPSMMUWHoU8Y3c784S6vhjhsgSe9C5B9,7611890781475,7611.890781475,15
HKnrTychSnc6MNZ5RQPx1HKWpANAwkj6rLrZZh9GMcDX,7608495325163,7608.495325163,15
JBvjQsg5YasDvmSKnetHZzUesa1Aucp6gXwGtPhjefGY,7453787642086,7453.787642086,15
AzBgT8yq1dmfai97HVQza4UVMGc744GwwmwMgmCUj4nM,7307587296606,7307.587296606,1
ri2qELge21XtZPGJnthb4scDsPoNcZgPmiBSCsboKLk,7223095213510,7223.09521351,1
DvaYqSXnvfBcs8dGMowJwV25EVfmCeTKjx5bBXE1gRie,7148576713269,7148.576713269,11
B3c15eCa71NtkymGzHpKd8p6vHN18pfqznWT6kwP2rUc,7113627325604,7113.627325604,15
AFeT33rwKjeAYXwHK9CPEzC4qAAwkUiRA7cmeEanx8dB,7092000000000,7092.0,1
7jEsBwix1TmkVejHGmNo3WQFLi3HhhW9mGBHFvfbAnxM,6981064500000,6981.0645,1
696xYDZadXLCaddoeSsSxcY6mf3KkxWQ5Qk6noSnHvD4,6840594075242,6840.594075242,2
8FiwmeLuSpQYcmpsXqQMsoWfFoLKCWYGbjoHtUTwny6f,6695500337452,6695.500337452,6
FjvtoK5uXiDhkdC7V2r2b5G7Bv8UVo4bnTuNRyPxKr4m,6534067644686,6534.067644686,1
HA7MQ6ZMwqBgZ79iv2i9Mrrde6i9TPLvNVGaxrcSUts5,6326359172000,6326.359172,3
5RVvvh4bf1emsZEhAk1pWFZut8ie4B8aE8TgUWnB8CE,6292697938714,6292.697938714,1
B2Rdj56L2E5BfQTQ8XMZ9cwnJ3k47CdzDxznx1kDc6Jc,6264859651937,6264.859651937,3
4LFzNM7Hr2bFKXvZGgmdpt45haSwkvxjXuZ1LakvRF2N,6250000000000,6250.0,15
AbBmsVyRGK7XEoXEaCWYobeF6o6Xd6vLb2So2CvarFUG,6249000000000,6249.0,15
7wkdVquNQyy5voSSnwmo11Hhp2jGaypKx2SGAjKkWvh6,6249000000000,6249.0,15
Ga6c6ivZ62h7qRejXwTzy16BX7eKFjBgvdui5hv7GTdk,6105000000000,6105.0,15
Hfs5rykKdHqbY4bRQweCThRPSPLEGdNV3R7i5cwecgKG,5848081265375,5848.081265375,6
2JtWd26hcfCEc8cG5JbpfKVY3K4wiPTfZRTb2TUookvL,5825866882250,5825.86688225,15
HYd8tPCsppe97sLxSdSeVJQfzdpn2N5u2m2TdYQNxgqm,5662000000000,5662.0,15
84a3S7SiXMQhYNBVU56DYa1HiFbR6X1N5icy6m3XwUE2,5650724902725,5650.724902725,1
2KxirvKTN1d8MGxdNT6aPdhe9rDQffsNgAsMjdkiqCDu,5374265712135,5374.265712135,11
A3tqp18MQ55EuyWMk3H8K3mvsKgectw3aZqsbg6qB5Yb,5206000000000,5206.0,15
VkNxyMtajENRfFXDCqStTWHEqK63styE43nsMfCx8sV,5005183520274,5005.183520274,15
HH6qpS3ZH2AyGxNuv8y6ztQWD1LEjKW9bEorZCLsXzpU,4941044076789,4941.044076789,15
bvmPmKF83XhD3qFbkYnZwjwdN2c4hagXArhUCTtUgJ6,4922798576000,4922.798576,15
7CkVwR8ZbCf2XeHQTKU799BtK5gs5a5ZypnrcktJP4t5,4912544428280,4912.54442828,7
AZSTw8NQ86hMUNJnLNZfxr6EVDW1NsvfxmhaF3DwhCQu,4872953147010,4872.95314701,2
4ckFsqqv7bmt9TNNSFbRWdaVJrsNz8jNQDK6k3BYuAFG,4784000000000,4784.0,15
GZw2cGKGNzzgsNpbLPQan47q4LHXh8Xcc2EJ3cRDCb8G,4551597387221,4551.597387221,1
Fe4T4mDNmTWxwh8vkGLVhh9wYkfHhNAWMyA6crosY4SY,4429883680000,4429.88368,5
4RKiNQbmxHNnWzLhkiweKZt33NbBYCYjb7Zk4eR9m8ZK,4316989975640,4316.98997564,5
7mggRdhuQgGkoKVCfbbm5gwjjqbww2ZLd5YsDiLjrknM,4028713505468,4028.713505468,4
HTKJrfrahVFpC7YpsoRxp7kLjHCso7D495ivD6D9Kq5f,3998905000000,3998.905,1
H7PDBMAw2PNEiyAQDyVnN3BiCpo3e3NCFD6U4bmQFUFP,3934691230873,3934.691230873,6
4z7kNGNahsNWzw9s7nKGVTdSa5uvugjNoutupJY745ms,3907755360202,3907.755360202,6
4x2rFAjq1KW9EmihdTbNB28m1bnT3bPHdYSYaVGt6wLU,3883590933595,3883.590933595,6
FSdRYtZBMfVaPMwQQSUGx1jhCVCaWTTE8crzzAJWnxFA,3798998500000,3798.9985,1
FkAGZHqiZVn1HjTyMdNr4Fm3TBNcawHZHqiiRLqD69to,3606013794756,3606.013794756,8
FWUACExUibApzeVMZmZ5FxYv9qGVWwJ3NTpQsf2bJEv7,3594000000284,3594.000000284,2
7PoJQMyzymvSTzpSwMLkRGgcXAa1fBZHxTVoyvdR7xJG,3520161924280,3520.16192428,6
JEEt44RBEEGzGrc45mKGzuJMqwA5WdgsSh6L4UTUQCW5,0,0.0,7
JEDBStJpwwiCNtxthGX29xTk2k3yenuhMjFYUKV5e9jm,0,0.0,2
